no_spm;sum(jumlah_debet)
00001/W12/SPM-GUP/APR/2017;214890194
00001/W12/SPM-LSK/SEP/2017;1720125000
00001/W12/SPM-LSNK/AGU/2017;27540000
00001/W12/SPM-TUP-NIHIL/JUL/2017;844100000
00001/W12/SPM-TUP/JUL/2017;844100000
00001/W12/SPM-UP/FEB/2017;150000000
00001/W14/SPM-GUP/APR/2017;25068800
00001/W14/SPM-LSK/DES/2017;136300000
00001/W14/SPM-TUP-NIHIL/DES/2017;65000000
00001/W14/SPM-TUP/OKT/2017;65000000
00001/W14/SPM-UP/FEB/2017;15000000
00001/W21/SPM-GUP/APR/2017;34598476
00001/W21/SPM-LSNK/AGU/2017;5283000
00001/W21/SPM-TUP-NIHIL/DES/2017;15000000
00001/W21/SPM-TUP/DES/2017;15000000
00001/W21/SPM-UP/FEB/2017;100000000
00001/W23/SPM-GUP/MAR/2017;220872798
00001/W23/SPM-LS PGW/FEB/2017;8125000000
00001/W23/SPM-LSK/AGU/2017;614053920
00001/W23/SPM-LSNK/AGU/2017;31750000
00001/W23/SPM-PUP/FEB/2017;595000000
00001/W23/SPM-TUP-NIHIL/JUL/2017;15000000000
00001/W23/SPM-TUP/MEI/2017;15000000000
00001/W23/SPM-UP/FEB/2017;250000000
00001/W24/SPM-GUP/MAR/2017;29893600
00001/W24/SPM-LSNK/SEP/2017;12000000
00001/W24/SPM-TUP-NIHIL/OKT/2017;62359700
00001/W24/SPM-TUP/SEP/2017;62359700
00001/W24/SPM-UP/FEB/2017;40000000
00001/W32/SPM-LSNK/OKT/2017;12870000
00001/W32/SPM-UP/FEB/2017;100000000
00001/W34/SPM-GUP/FEB/2017;34757600
00001/W34/SPM-LSK/DES/2017;187765600
00001/W34/SPM-LSNK/SEP/2017;21000000
00001/W34/SPM-TUP-NIHIL/DES/2017;70000000
00001/W34/SPM-TUP/DES/2017;70000000
00001/W34/SPM-UP/FEB/2017;85000000
00001/W44/SPM-GUP/FEB/2017;14471600
00001/W44/SPM-LSK/SEP/2017;71690000
